Secretaria / Organismo;Programa Operativo;Archivo Fuente;Campo Disponible;Descripcion del campo
ANSES;ANSES;anses;Seguro_Desempleo_Fl;Marca que indica los niños que perciben Asignaciones Familiares en el período.
ANSES;ANSES;anses;Sistema_Integrado_Previsional_Argentino_Fl;Marca que indica los niños que perciben Asignaciones Familiares en el período.
ANSES;ANSES;anses;EX_Combatientes_Malvinas_Fl;Marca que indica los niños que perciben Asignaciones Familiares en el período.
ANSES;ANSES;anses;Pension_No_Contributiva_Fl;Marca que indica los niños que perciben Asignaciones Familiares en el período.
ANSES;ANSES;anses;Actividad_Supera_Ingresos_Maximos_Fl;Marca que indica los niños no alcanzados por la norma nacional en el período.
ANSES;ANSES;anses;Actividad_Por_Debajo_Del_Ingreso_Minimo_Fl;Marca que indica los niños no alcanzados por la norma nacional en el período.
ANSES;ANSES;anses;Trabajadores_Independientes_Fl;Marca que indica los niños no alcanzados por la norma nacional en el período.
ANSES;ANSES;anses;Beneficiarios_Otros_Planes_Sociales_O_Activo_O_Pasivos_Provincias_Fl;Marca que indica los niños no alcanzados por la norma nacional en el período.
ANSES;ANSES;anses;Extranjeros_Sin_Residencia_Minima_Fl;Marca que indica los niños no alcanzados por la norma nacional en el período.
ANSES;ANSES;anses;Falta_Presentacion_Libreta_Fl;Marca que indica los niños no alcanzados por la norma nacional en el período.
ANSES;ANSES;anses;Suspensiones_Fl;Marca que indica los niños no alcanzados por la norma nacional en el período.
ANSES;ANSES;anses;Otras_Incompatibilidades_Nino_Titular_Fl;Marca que indica los niños no alcanzados por la norma nacional en el período.
ANSES;ANSES;anses;Prestacion_AUH_Embarazo_Fl;Indica si el CUIL es beneficiario de AUH por Embarazo en el período. 0: no beneficiario, 1: beneficiario.
ANSES;ANSES;anses;Monto_AUH_Embarazo_Vl;Monto bruto de AUH por Embarazo.
ANSES;ANSES;anses;Primer_Periodo_Cobro_AUH_Embrazo_Nu;Período de la primera liquidación de AUH por Embarazo, a partir de 01/01/2024. Formato: AAAAMM.
ANSES;ANSES;anses;Ultimo_Periodo_Cobro_AUH_Embrazo_Nu;Período de la última liquidación de AUH por Embarazo. Toma el valor del período actual en caso de ser beneficiario. Formato: AAAAMM.
ANSES;ANSES;anses;Cantidad_Liquidaciones_AUH_Embrazo_Vl;Cantidad de liquidaciones de AUH por Embarazo, a partir de 01/01/2024.
ANSES;ANSES;anses;Prestacion_AUH_Discapacidad_Fl;Indica si el CUIL es beneficiario de AUH por Discapacidad en el período. 0: no beneficiario, 1: beneficiario.
ANSES;ANSES;anses;Monto_AUH_Discapacidad_Vl;Monto bruto de AUH por Discapacidad.
ANSES;ANSES;anses;Primer_Periodo_Cobro_AUH_Discapacidad_Nu;Período de la primera liquidación de AUH por Discapacidad, a partir de 01/01/2024. Formato: AAAAMM.
ANSES;ANSES;anses;Ultimo_Periodo_Cobro_AUH_Discapacidad_Nu;Período de la última liquidación de AUH por Discapacidad. Toma el valor del período actual en caso de ser beneficiario. Formato: AAAAMM.
ANSES;ANSES;anses;Cantidad_Liquidaciones_AUH_Discapacidad_Vl;Cantidad de liquidaciones de AUH por Discapacidad, a partir de 01/01/2024.
ANSES;ANSES;anses;Prestacion_AAFF_Fl;Indica si el CUIL es beneficiario de Asignaciones Familiares en el período. 0: no beneficiario, 1: beneficiario.
ANSES;ANSES;anses;Monto_AAFF_Vl;Monto bruto de Asignaciones Familiares.
ANSES;ANSES;anses;Primer_Periodo_Cobro_AAFF_Nu;Período de la primera liquidación de AAFF, a partir de 01/01/2024. Formato: AAAAMM.
ANSES;ANSES;anses;Ultimo_Periodo_Cobro_AAFF_Nu;Período de la última liquidación de AAFF. Toma el valor del período actual en caso de ser beneficiario. Formato: AAAAMM.
ANSES;ANSES;anses;Cantidad_Liquidaciones_AAFF_Vl;Cantidad de liquidaciones de AAFF, a partir de 01/01/2024.
ANSES;ANSES;anses;Prestacion_AAFF_Maternidad_Fl;Indica si el CUIL es beneficiario de AAFF por Maternidad en el período. 0: no beneficiario, 1: beneficiario.
ANSES;ANSES;anses;Monto_AAFF_Maternidad_Vl;Monto bruto de AAFF por Maternidad.
ANSES;ANSES;anses;Primer_Periodo_Cobro_AAFF_Maternidad_Nu;Período de la primera liquidación de AAFF por Maternidad. Formato: AAAAMM.
ANSES;ANSES;anses;Ultimo_Periodo_Cobro_AAFF_Maternidad_Nu;Período de la última liquidación de AAFF por Maternidad. Toma el valor del período actual en caso de ser beneficiario. Formato: AAAAMM.
ANSES;ANSES;anses;Prestacion_AAFF_Discapacidad_Fl;Indica si el CUIL es beneficiario de AAFF por Discapacidad en el período. 0: no beneficiario, 1: beneficiario.
ANSES;ANSES;anses;Monto_AAFF_Discapacidad_Vl;Monto bruto de AAFF por Discapacidad.
ANSES;ANSES;anses;Primer_Periodo_Cobro_AAFF_Discapacidad_Nu;Período de la primera liquidación de AAFF por Discapacidad, a partir de 01/01/2024. Formato: AAAAMM.
ANSES;ANSES;anses;Ultimo_Periodo_Cobro_AAFF_Discapacidad_Nu;Período de la última liquidación de AAFF por Discapacidad. Toma el valor del período actual en caso de ser beneficiario. Formato: AAAAMM.
ANSES;ANSES;anses;Cantidad_Liquidaciones_AAFF_Discapacidad_Vl;Cantidad de liquidaciones de AAFF por Discapacidad, a partir de 01/01/2024.
ANSES;ANSES;anses;Prestacion_AAFF_Conyuge_Fl;Indica si el CUIL es beneficiario de AAFF por Cónyuge en el período. 0: no beneficiario, 1: beneficiario.
ANSES;ANSES;anses;Monto_AAFF_Conyuge_Vl;Monto bruto de AAFF por Cónyuge.
ANSES;ANSES;anses;Primer_Periodo_Cobro_AAFF_Conyuge_Nu;Período de la primera liquidación de AAFF por Cónyuge. Formato: AAAAMM.
ANSES;ANSES;anses;Ultimo_Periodo_Cobro_AAFF_Conyuge_Nu;Período de la última liquidación de AAFF por Cónyuge. Toma el valor del período actual en caso de ser beneficiario. Formato: AAAAMM.
ANSES;ANSES;anses;Prestacion_AAFF_Ayuda_Escolar_Fl;Indica si el CUIL es beneficiario de AAFF Ayuda Escolar en el período. 0: no beneficiario, 1: beneficiario.
ANSES;ANSES;anses;Monto_AAFF_Ayuda_Escolar_Vl;Monto bruto de AAFF Ayuda Escolar.
ANSES;ANSES;anses;Primer_Periodo_Cobro_AAFF_Ayuda_Escolar_Nu;Período de la primera liquidación de AAFF Ayuda Escolar. Formato: AAAAMM.
ANSES;ANSES;anses;Ultimo_Periodo_Cobro_AAFF_Ayuda_Escolar_Nu;Período de la última liquidación de AAFF Ayuda Escolar. Toma el valor del período actual en caso de ser beneficiario. Formato: AAAAMM.
ANSES;ANSES;anses;Prestacion_AAFF_Prenatal_Fl;Indica si el CUIL es beneficiario de AAFF Prenatal en el período. 0: no beneficiario, 1: beneficiario.
ANSES;ANSES;anses;Monto_AAFF_Prenatal_Vl;Monto bruto de AAFF Prenatal.
ANSES;ANSES;anses;Primer_Periodo_Cobro_AAFF_Prenatal_Nu;Período de la primera liquidación de AAFF Prenatal. Formato: AAAAMM.
ANSES;ANSES;anses;Ultimo_Periodo_Cobro_AAFF_Prenatal_Nu;Período de la última liquidación de AAFF Prenatal. Toma el valor del período actual en caso de ser beneficiario. Formato: AAAAMM.
ANSES;ANSES;anses;Prestacion_AAFF_Plan_Mil_Dias_Fl;Indica si el CUIL es beneficiario de AAFF Plan Mil Días en el período. 0: no beneficiario, 1: beneficiario.
ANSES;ANSES;anses;Monto_AAFF_Plan_Mil_Dias_Vl;Monto bruto de AAFF Plan Mil Días.
ANSES;ANSES;anses;Primer_Periodo_Cobro_AAFF_Plan_Mil_Dias_Nu;Período de la primera liquidación de AAFF Plan Mil Días. Formato: AAAAMM.
ANSES;ANSES;anses;Ultimo_Periodo_Cobro_AAFF_Plan_Mil_Dias_Nu;Período de la última liquidación de AAFF Plan Mil Días. Toma el valor del período actual en caso de ser beneficiario. Formato: AAAAMM.
ANSES;ANSES;anses;Prestacion_PUAM_Fl;Indica si el CUIL es beneficiario de PUAM en el período. 0: no beneficiario, 1: beneficiario.
ANSES;ANSES;anses;Monto_PUAM_Vl;Monto bruto de PUAM.
ANSES;ANSES;anses;Primer_Periodo_Cobro_PUAM_Nu;Período de la primera liquidación de PUAM. Formato: AAAAMM.
ANSES;ANSES;anses;Ultimo_Periodo_Cobro_PUAM_Nu;Período de la última liquidación de PUAM. Toma el valor del período actual en caso de ser beneficiario. Formato: AAAAMM.
ANSES;ANSES;anses;Prestacion_PNC_Madres_7_Hijos_Fl;Indica si el CUIL es beneficiario de PNC Madres de 7 Hijos en el período. 0: no beneficiario, 1: beneficiario.
ANSES;ANSES;anses;Monto_PNC_Madres_7_Hijos_Vl;Monto bruto de PNC Madres de 7 Hijos.
ANSES;ANSES;anses;Primer_Periodo_Cobro_PNC_Madres_7_Hijos_Nu;Período de la primera liquidación de PNC Madres de 7 Hijos. Formato: AAAAMM.
ANSES;ANSES;anses;Ultimo_Periodo_Cobro_PNC_Madres_7_Hijos_Nu;Período de la última liquidación de PNC Madres de 7 Hijos. Toma el valor del período actual en caso de ser beneficiario. Formato: AAAAMM.
ANSES;ANSES;anses;Prestacion_PNC_Vejez_Fl;Indica si el CUIL es beneficiario de PNC por Vejez en el período. 0: no beneficiario, 1: beneficiario.
ANSES;ANSES;anses;Monto_PNC_Vejez_Vl;Monto bruto de PNC por Vejez.
ANSES;ANSES;anses;Primer_Periodo_Cobro_PNC_Vejez_Nu;Período de la primera liquidación de PNC por Vejez. Formato: AAAAMM.
ANSES;ANSES;anses;Ultimo_Periodo_Cobro_PNC_Vejez_Nu;Período de la última liquidación de PNC por Vejez. Toma el valor del período actual en caso de ser beneficiario. Formato: AAAAMM.
ANSES;ANSES;anses;Prestacion_PNC_Familiares_Desaparecidos_Fl;Indica si el CUIL es beneficiario de PNC Familiares de Desaparecidos en el período. 0: no beneficiario, 1: beneficiario.
ANSES;ANSES;anses;Monto_PNC_Familiares_Desaparecidos_Vl;Monto bruto de PNC Familiares de Desaparecidos.
ANSES;ANSES;anses;Primer_Periodo_Cobro_PNC_Familiares_Desaparecidos_Nu;Período de la primera liquidación de PNC Familiares de Desaparecidos. Formato: AAAAMM.
